loan_id,current_balance,payment_status,days_past_due,last_payment_date,servicer_name,update_timestamp
LN-10001,211447.88,DELINQUENT_60,60,2026-07-20,Beacon Servicing Group,2026-08-26 03:44:07
LN-10002,383370.18,CURRENT,0,2026-08-15,Citadel Loan Partners,2026-08-25 22:44:07
LN-10003,249310.49,CURRENT,0,2026-06-27,Evergreen Capital Servicing,2026-08-25 19:44:07
LN-10004,71426.39,CURRENT,0,2026-07-29,Beacon Servicing Group,2026-08-26 15:44:07
LN-10005,488001.94,CURRENT,0,2026-08-07,Evergreen Capital Servicing,2026-08-25 17:44:07
LN-10006,60845.33,CURRENT,0,2026-08-12,Delta Servicing Co.,2026-08-26 16:44:07
LN-10007,294204.4,CURRENT,0,2026-06-27,Apex Mortgage Servicing,2026-08-26 04:44:07
LN-10008,381156.29,CURRENT,0,2026-07-04,Evergreen Capital Servicing,2026-08-26 16:44:07
LN-10009,152492.36,CURRENT,0,2026-06-29,Citadel Loan Partners,2026-08-26 08:44:07
LN-10010,444366.38,DELINQUENT_90,90,2026-08-06,Citadel Loan Partners,2026-08-25 17:44:07
LN-10011,361231.46,CURRENT,0,2026-07-25,Evergreen Capital Servicing,2026-08-26 02:44:07
LN-10012,235415.87,DELINQUENT_30,30,2026-07-17,Evergreen Capital Servicing,2026-08-26 06:44:07
LN-10013,506123.99,CURRENT,0,2026-08-13,Evergreen Capital Servicing,2026-08-25 18:44:07
LN-10014,306884.01,CURRENT,0,2026-08-18,Apex Mortgage Servicing,2026-08-26 03:44:07
LN-10016,500843.2,CURRENT,0,2026-07-02,Citadel Loan Partners,2026-08-25 19:44:07
LN-10017,379376.02,CURRENT,0,2026-08-18,Evergreen Capital Servicing,2026-08-26 08:44:07
LN-10018,261069.23,DELINQUENT_60,60,2026-08-14,Delta Servicing Co.,2026-08-26 16:44:07
LN-10019,256121.26,CURRENT,0,2026-07-23,Citadel Loan Partners,2026-08-26 04:44:07
LN-10020,450374.07,CURRENT,0,2026-08-03,Citadel Loan Partners,2026-08-26 07:44:07
LN-10021,289041.35,CURRENT,0,2026-08-12,Evergreen Capital Servicing,2026-08-25 18:44:07
LN-10022,139306.41,CURRENT,0,2026-07-03,Citadel Loan Partners,2026-08-26 09:44:07
LN-10023,349076.06,CURRENT,0,2026-08-19,Beacon Servicing Group,2026-08-26 16:44:07
LN-10024,377954.21,CURRENT,0,2026-07-26,Beacon Servicing Group,2026-08-25 23:44:07
LN-10025,359481.76,CURRENT,0,2026-07-30,Delta Servicing Co.,2026-08-26 04:44:07
LN-10026,154654.42,CURRENT,0,2026-08-20,Citadel Loan Partners,2026-08-25 22:44:07
LN-10027,691672.8,CURRENT,0,2026-08-19,Citadel Loan Partners,2026-08-25 21:44:07
LN-10028,382160.44,CURRENT,0,2026-07-20,Citadel Loan Partners,2026-08-26 00:44:07
LN-10029,0.0,PAID_OFF,0,2026-08-08,Citadel Loan Partners,2026-08-26 05:44:07
LN-10020,314646.4,CURRENT,0,2026-06-30,Apex Mortgage Servicing,2026-08-26 10:44:07
LN-10031,57992.95,CURRENT,0,2026-07-27,Delta Servicing Co.,2026-08-25 23:44:07
LN-10032,308823.71,CURRENT,0,2026-07-01,Beacon Servicing Group,2026-08-25 23:44:07
LN-10033,456188.35,CURRENT,0,2026-07-24,Delta Servicing Co.,2026-08-25 23:44:07
LN-10034,417316.9,CURRENT,0,2026-08-07,Beacon Servicing Group,2026-08-25 22:44:07
LN-10035,0.0,PAID_OFF,0,2026-08-02,Citadel Loan Partners,2026-08-26 11:44:07
LN-10036,319404.41,CURRENT,0,2026-07-06,Delta Servicing Co.,2026-08-26 02:44:07
LN-10037,55934.13,CURRENT,0,2026-08-08,Citadel Loan Partners,2026-08-26 00:44:07
LN-10038,379752.13,CURRENT,0,2026-07-03,Apex Mortgage Servicing,2026-08-26 03:44:07
LN-10039,466960.32,CURRENT,0,2026-07-14,Beacon Servicing Group,2026-08-26 00:44:07
LN-10040,284374.28,CURRENT,0,2026-07-08,Apex Mortgage Servicing,2026-08-25 22:44:07
LN-10041,60127.48,CURRENT,0,2026-07-12,Citadel Loan Partners,2026-08-26 00:44:07
LN-10042,299931.94,CURRENT,0,2026-08-04,Apex Mortgage Servicing,2026-08-25 19:44:07
LN-10043,430888.19,CURRENT,0,2026-07-08,Evergreen Capital Servicing,2026-08-25 21:44:07
LN-10044,158181.2,CURRENT,0,2026-07-27,Beacon Servicing Group,2026-08-26 16:44:07
LN-10045,233173.33,CURRENT,0,2026-07-06,Apex Mortgage Servicing,2026-08-25 22:44:07
LN-10046,506971.76,CURRENT,0,2026-08-03,Beacon Servicing Group,2026-08-26 05:44:07
LN-10047,494159.44,DELINQUENT_30,30,2026-08-03,Evergreen Capital Servicing,2026-08-26 14:44:07
LN-10048,625414.57,CURRENT,0,2026-08-12,Beacon Servicing Group,2026-08-26 04:44:07
LN-10049,353582.92,CURRENT,0,2026-07-25,Evergreen Capital Servicing,2026-08-25 21:44:07
LN-10050,298569.06,DELINQUENT_30,30,2026-07-26,Apex Mortgage Servicing,2026-08-26 09:44:07
LN-10051,148967.32,CURRENT,0,2026-08-14,Delta Servicing Co.,2026-08-26 14:44:07
LN-10052,138965.2,CURRENT,0,2026-08-04,Delta Servicing Co.,2026-08-25 18:44:07
LN-10053,299312.14,CURRENT,0,2026-07-15,Evergreen Capital Servicing,2026-08-26 05:44:07
LN-10054,328644.18,CURRENT,0,2026-06-28,Apex Mortgage Servicing,2026-08-25 20:44:07
LN-10055,155880.66,CURRENT,0,2026-06-27,Delta Servicing Co.,2026-08-25 23:44:07
LN-10056,67588.15,CURRENT,0,2026-07-08,Delta Servicing Co.,2026-08-26 11:44:07
LN-10057,427624.34,CURRENT,0,2026-08-14,Delta Servicing Co.,2026-08-26 07:44:07
LN-10058,347026.08,CURRENT,0,2026-07-05,Evergreen Capital Servicing,2026-08-25 23:44:07
LN-10059,543673.26,CURRENT,0,2026-07-17,Citadel Loan Partners,2026-08-25 22:44:07
LN-10060,128509.35,CURRENT,0,2026-07-10,Delta Servicing Co.,2026-08-26 12:44:07
LN-10061,298567.07,CURRENT,0,2026-08-17,Beacon Servicing Group,2026-08-26 02:44:07
LN-10062,0.0,PAID_OFF,0,2026-08-06,Apex Mortgage Servicing,2026-08-26 00:44:07
LN-10063,323901.5,DELINQUENT_30,30,2026-07-30,Citadel Loan Partners,2026-08-26 13:44:07
LN-10064,240753.33,CURRENT,0,2026-08-12,Evergreen Capital Servicing,2026-08-26 02:44:07
LN-10065,328358.12,CURRENT,0,2026-07-12,Citadel Loan Partners,2026-08-26 14:44:07
LN-10066,488213.83,DELINQUENT_120,120,2026-08-21,Citadel Loan Partners,2026-08-26 12:44:07
LN-10067,449303.14,CURRENT,0,2026-08-02,Apex Mortgage Servicing,2026-08-26 04:44:07
LN-10068,95757.43,CURRENT,0,2026-08-05,Beacon Servicing Group,2026-08-26 14:44:07
LN-10069,0,PAID_OFF,0,2026-08-14,Evergreen Capital Servicing,2026-08-25 19:44:07
LN-10070,388490.88,CURRENT,0,2026-07-12,Apex Mortgage Servicing,2026-08-25 20:44:07
LN-10071,76590.99,CURRENT,0,2026-07-26,Evergreen Capital Servicing,2026-08-26 08:44:07
LN-10072,464532.06,CURRENT,0,2026-08-15,Citadel Loan Partners,2026-08-25 18:44:07
LN-10073,78845.24,CURRENT,0,2026-07-02,Beacon Servicing Group,2026-08-26 12:44:07
LN-10074,306410.0,CURRENT,0,2026-07-18,Beacon Servicing Group,2026-08-26 11:44:07
LN-10076,225208.85,CURRENT,0,2026-07-22,Apex Mortgage Servicing,2026-08-25 21:44:07
LN-10077,634785.6,CURRENT,0,2026-07-28,Citadel Loan Partners,2026-08-26 06:44:07
LN-10078,433662.09,CURRENT,0,2026-07-27,Delta Servicing Co.,2026-08-26 14:44:07
LN-10079,422253.57,CURRENT,0,2026-07-01,Citadel Loan Partners,2026-08-25 18:44:07
LN-10040,369830.61,CURRENT,0,2026-08-08,Evergreen Capital Servicing,2026-08-26 08:44:07
LN-10081,527113.05,CURRENT,0,2026-07-14,Apex Mortgage Servicing,2026-08-26 05:44:07
LN-10082,456192.28,CURRENT,0,2026-08-16,Apex Mortgage Servicing,2026-08-26 12:44:07
